resp,numtexts,treatycommit,brave,evil,flag,threat,economy,treatyviolation,resp_id,text1,text2,text3,text_full
15,3,1,0,1,0,0,1,0,R_1f3EInINqiPMxLr,China is a communist country with a long history of mistreating its citizens. Scholars estimate that at least 18 million Chinese citizens have been killed as a result of its policies.,China is interfering with a long tradition of independence for Hong Kong. Hong Kong has been governed separately from China for the past 150 years. It is considered the textbook example of a successful free-market economy.,"In 1992, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's special status.","China is a communist country with a long history of mistreating its citizens. Scholars estimate that at least 18 million Chinese citizens have been killed as a result of its policies. China is interfering with a long tradition of independence for Hong Kong. Hong Kong has been governed separately from China for the past 150 years. It is considered the textbook example of a successful free-market economy. In 1992, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's special status."
50,3,1,0,1,0,0,1,0,R_r9fq0e4bkIkCT61,"China is an authoritarian country. Outside of Hong Kong, it does not allow for free speech, free press, or due process of the law.","27 years ago, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's right to govern itself.",China is interfering with a long tradition of independence for Hong Kong. Hong Kong has enjoyed self-government for many years. Its free-market economy is the envy of the world.,"China is an authoritarian country. Outside of Hong Kong, it does not allow for free speech, free press, or due process of the law. 27 years ago, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's right to govern itself. China is interfering with a long tradition of independence for Hong Kong. Hong Kong has enjoyed self-government for many years. Its free-market economy is the envy of the world."
81,2,0,0,0,1,0,1,0,R_1kLnCazpAwr9Gi9,Many protesters carry American flags to affirm their support for ideals that Americans hold dear.,China is interfering with a long tradition of independence for Hong Kong. Hong Kong has enjoyed self-government for many years. Its residents enjoy greater economic freedom than virtually any other people in the world.,,Many protesters carry American flags to affirm their support for ideals that Americans hold dear. China is interfering with a long tradition of independence for Hong Kong. Hong Kong has enjoyed self-government for many years. Its residents enjoy greater economic freedom than virtually any other people in the world. 
70,2,1,0,0,0,0,0,1,R_eEBhE05cdVJUH6h,Chinese actions violate the terms of the treaty that led Britain to return Hong Kong to China.,"In 1992, Congress passed a bill pledging to preserve Hong Kong's autonomy.",,"Chinese actions violate the terms of the treaty that led Britain to return Hong Kong to China. In 1992, Congress passed a bill pledging to preserve Hong Kong's autonomy. "
70,3,1,1,1,0,0,0,0,R_2DML4IDEsez9Gmz,"During George H.W. Bush's administration, Congress passed a bill pledging to preserve Hong Kong's special status.","China is a totalitarian country. Outside of Hong Kong, it does not allow for free speech, free press, or due process of the law.","Some protesters have been beaten, imprisoned, and tortured by the Chinese government, but the protesters put their lives on the line in the name of liberty.","During George H.W. Bush's administration, Congress passed a bill pledging to preserve Hong Kong's special status. China is a totalitarian country. Outside of Hong Kong, it does not allow for free speech, free press, or due process of the law. Some protesters have been beaten, imprisoned, and tortured by the Chinese government, but the protesters put their lives on the line in the name of liberty."
90,2,1,1,0,0,0,0,0,R_2XaDKnaRhleAvcR,"In 1992, Congress passed the Hong Kong Policy Act, which committed the United States to preserving Hong Kong's special status.","Some protesters have been beaten, imprisoned, and tortured by the Chinese government.",,"In 1992, Congress passed the Hong Kong Policy Act, which committed the United States to preserving Hong Kong's special status. Some protesters have been beaten, imprisoned, and tortured by the Chinese government. "
80,3,1,1,0,1,0,0,0,R_vOEtFQnrs7bJRnj,Protesters have been targeted by brutal police tactics and intimidation.,Many protesters carry American flags to demonstrate their love of liberty.,"Some time ago, Congress passed the Hong Kong Policy Act, which committed the United States to preserving Hong Kong's freedom.","Protesters have been targeted by brutal police tactics and intimidation. Many protesters carry American flags to demonstrate their love of liberty. Some time ago, Congress passed the Hong Kong Policy Act, which committed the United States to preserving Hong Kong's freedom."
64,3,1,1,0,0,0,1,0,R_1pRoobp4Vovwkv3,Protesters have been targeted by brutal police tactics and intimidation.,"Some time ago, Congress passed the Hong Kong Policy Act, which enshrined America's commitment to preserving Hong Kong's autonomy.","Hong Kong has been governed separately from China for the past 150 years. During this time, it has grown into one of the richest cities in the world.","Protesters have been targeted by brutal police tactics and intimidation. Some time ago, Congress passed the Hong Kong Policy Act, which enshrined America's commitment to preserving Hong Kong's autonomy. Hong Kong has been governed separately from China for the past 150 years. During this time, it has grown into one of the richest cities in the world."
8,2,0,0,0,1,0,0,1,R_1K46W4FYXRDdKwQ,The protesters regularly wave American flags to highlight the connection between their own problems and the complaints that sparked the American Revolution.,The protesters claim that recent Chinese actions violate the terms of the treaty that led Britain to return Hong Kong to China.,,The protesters regularly wave American flags to highlight the connection between their own problems and the complaints that sparked the American Revolution. The protesters claim that recent Chinese actions violate the terms of the treaty that led Britain to return Hong Kong to China. 
50,3,1,0,0,0,1,0,1,R_20UuTIQ5jElFmUf,China's crackdown in Hong Kong may foreshadow aggression towards other U.S. allies in the region.,"In 1992, Congress passed the Hong Kong Policy Act, which commits the United States to preserving Hong Kong's special status and its freedoms.","When Britain returned Hong Kong to China in 1997, China promised not to interfere with Hong Kong's internal affairs for 50 years. Protesters argue that recent Chinese actions violate this agreement.","China's crackdown in Hong Kong may foreshadow aggression towards other U.S. allies in the region. In 1992, Congress passed the Hong Kong Policy Act, which commits the United States to preserving Hong Kong's special status and its freedoms. When Britain returned Hong Kong to China in 1997, China promised not to interfere with Hong Kong's internal affairs for 50 years. Protesters argue that recent Chinese actions violate this agreement."
75,3,1,1,0,0,0,0,1,R_1OmqdNM2XNbG0P7,"Some time ago, Congress passed the Hong Kong Policy Act, which enshrined America's commitment to preserving Hong Kong's special status.",The protesters claim that recent Chinese actions violate the terms of the treaty that led Britain to return Hong Kong to China.,"The Hong Kong protesters face a serious risk of being beaten, imprisoned, or tortured by the Chinese government, but they bravely protest anyway in order to defend their liberty.","Some time ago, Congress passed the Hong Kong Policy Act, which enshrined America's commitment to preserving Hong Kong's special status. The protesters claim that recent Chinese actions violate the terms of the treaty that led Britain to return Hong Kong to China. The Hong Kong protesters face a serious risk of being beaten, imprisoned, or tortured by the Chinese government, but they bravely protest anyway in order to defend their liberty."
100,3,1,0,0,1,0,1,0,R_3PY5MhLMrvmZSEl,Hong Kong has been governed separately from China for the past 150 years. It is considered the textbook example of a successful free-market economy.,Many protesters carry American flags to affirm their commitment for ideals that Americans hold dear.,"Some time ago, Congress passed the Hong Kong Policy Act, which committed the United States to preserving Hong Kong's special status and its freedoms.","Hong Kong has been governed separately from China for the past 150 years. It is considered the textbook example of a successful free-market economy. Many protesters carry American flags to affirm their commitment for ideals that Americans hold dear. Some time ago, Congress passed the Hong Kong Policy Act, which committed the United States to preserving Hong Kong's special status and its freedoms."
2,3,1,0,0,0,1,0,1,R_2RaD01NuPAzXPJ6,"Some time ago, Congress passed the Hong Kong Policy Act, which enshrined America's commitment to preserving Hong Kong's right to govern itself.","China's crackdown in Hong Kong may foreshadow aggression towards other U.S. allies in the region, especially Taiwan.",Recent Chinese actions violate the terms of the agreement that led Britain to return Hong Kong to China.,"Some time ago, Congress passed the Hong Kong Policy Act, which enshrined America's commitment to preserving Hong Kong's right to govern itself. China's crackdown in Hong Kong may foreshadow aggression towards other U.S. allies in the region, especially Taiwan. Recent Chinese actions violate the terms of the agreement that led Britain to return Hong Kong to China."
45,3,1,1,0,1,0,0,0,R_recG2W68WyxFPmV,"The Hong Kong protesters risk being beaten, imprisoned, or tortured by the Chinese government.",The protesters regularly wave American flags because they wish to connect their own movement with the American Revolution.,"In 1992, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's special status and its freedoms.","The Hong Kong protesters risk being beaten, imprisoned, or tortured by the Chinese government. The protesters regularly wave American flags because they wish to connect their own movement with the American Revolution. In 1992, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's special status and its freedoms."
85,2,1,1,0,0,0,0,0,R_1MZnzG2ocASAdRa,"During George H.W. Bush's administration, Congress passed the Hong Kong Policy Act, which commits the United States to preserving Hong Kong's special status and its freedoms.","The Hong Kong protesters face a serious risk of being beaten, imprisoned, or tortured by the Chinese government, but they protest anyway in order to defend their liberty.",,"During George H.W. Bush's administration, Congress passed the Hong Kong Policy Act, which commits the United States to preserving Hong Kong's special status and its freedoms. The Hong Kong protesters face a serious risk of being beaten, imprisoned, or tortured by the Chinese government, but they protest anyway in order to defend their liberty. "
0,2,0,0,1,0,1,0,0,R_C1FHcBHhUDExLeF,"China is an authoritarian country. Outside of Hong Kong, it does not allow for free speech, free press, or due process of the law.",China's crackdown in Hong Kong follows decades of investing in its military so that it can better compete with the United States.,,"China is an authoritarian country. Outside of Hong Kong, it does not allow for free speech, free press, or due process of the law. China's crackdown in Hong Kong follows decades of investing in its military so that it can better compete with the United States. "
55,2,1,0,0,0,0,1,0,R_1NrxiliWq55FCWL,"In 1992, Congress passed a bill pledging to preserve Hong Kong's right to govern itself.","Hong Kong's special status within China has protected freedom and the rule of law, enabling it to become one of the freest and most prosperous societies in the world.",,"In 1992, Congress passed a bill pledging to preserve Hong Kong's right to govern itself. Hong Kong's special status within China has protected freedom and the rule of law, enabling it to become one of the freest and most prosperous societies in the world. "
70,3,1,0,0,1,1,0,0,R_tPrQS7cR4jL3AAx,"China's actions in Hong Kong follow a decade long military buildup, in which China has sought to catch up to American military capabilities.","Some time ago, Congress passed the Hong Kong Policy Act, which commits the United States to preserving Hong Kong's special status and its freedoms.",Many protesters carry American flags to highlight the connection between their own problems and the complaints that sparked the American Revolution.,"China's actions in Hong Kong follow a decade long military buildup, in which China has sought to catch up to American military capabilities. Some time ago, Congress passed the Hong Kong Policy Act, which commits the United States to preserving Hong Kong's special status and its freedoms. Many protesters carry American flags to highlight the connection between their own problems and the complaints that sparked the American Revolution."
100,3,1,0,0,1,1,0,0,R_12xOlnUJTcbYDoO,The protesters regularly wave American flags to appeal for American help.,China's actions in Hong Kong follows decades of investing in its military.,"In 1992, Congress passed the Hong Kong Policy Act, which commits the United States to preserving Hong Kong's special status and its freedoms.","The protesters regularly wave American flags to appeal for American help. China's actions in Hong Kong follows decades of investing in its military. In 1992, Congress passed the Hong Kong Policy Act, which commits the United States to preserving Hong Kong's special status and its freedoms."
100,2,0,1,0,1,0,0,0,R_2Tt5VzT5FKBKuzi,"The Hong Kong protesters risk of being beaten, imprisoned, or tortured by the Chinese government, but they protest anyway because they want to be free.",Many protesters carry American flags because they wish to connect their own movement with the American Revolution.,,"The Hong Kong protesters risk of being beaten, imprisoned, or tortured by the Chinese government, but they protest anyway because they want to be free. Many protesters carry American flags because they wish to connect their own movement with the American Revolution. "
18,3,1,1,0,1,0,0,0,R_2qdZxLaqBLnTSBM,Many protesters carry American flags to affirm their commitment for ideals that Americans hold dear.,"Protesters have been targeted by brutal police tactics, which has led to bloodshed.","27 years ago, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's special status and its freedoms.","Many protesters carry American flags to affirm their commitment for ideals that Americans hold dear. Protesters have been targeted by brutal police tactics, which has led to bloodshed. 27 years ago, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's special status and its freedoms."
75,2,0,0,0,1,0,1,0,R_u7FEQvB4eODZwl3,Many protesters carry American flags to highlight the connection between their own problems and the complaints that sparked the American Revolution.,Hong Kong has enjoyed self-government for many years. Its free-market economy is the envy of the world.,,Many protesters carry American flags to highlight the connection between their own problems and the complaints that sparked the American Revolution. Hong Kong has enjoyed self-government for many years. Its free-market economy is the envy of the world. 
83,3,1,0,0,0,1,1,0,R_3KqDkYKgcYgJW7h,"China's crackdown in Hong Kong may foreshadow aggression towards other U.S. allies in the region, especially Taiwan.","China is interfering with a long tradition of independence for Hong Kong. Hong Kong has been governed separately from China for the past 150 years. During this time, it has grown into one of the most richest cities in the world.","During George H.W. Bush's administration, Congress passed a bill pledging to preserve Hong Kong's right to govern itself.","China's crackdown in Hong Kong may foreshadow aggression towards other U.S. allies in the region, especially Taiwan. China is interfering with a long tradition of independence for Hong Kong. Hong Kong has been governed separately from China for the past 150 years. During this time, it has grown into one of the most richest cities in the world. During George H.W. Bush's administration, Congress passed a bill pledging to preserve Hong Kong's right to govern itself."
83,3,1,0,0,1,1,0,0,R_3gLrb8y550ODV7G,"In 1992, Congress passed the Hong Kong Policy Act, which enshrined America's commitment to preserving Hong Kong's special status and its freedoms.",The protesters regularly wave American flags to affirm their support for ideals that Americans hold dear.,"For the past 20 years, China has bought advanced military hardware from Russia.","In 1992, Congress passed the Hong Kong Policy Act, which enshrined America's commitment to preserving Hong Kong's special status and its freedoms. The protesters regularly wave American flags to affirm their support for ideals that Americans hold dear. For the past 20 years, China has bought advanced military hardware from Russia."
9,3,1,1,0,0,1,0,0,R_3kNjpECXHwRzqtU,"During George H.W. Bush's administration, Congress passed the Hong Kong Policy Act, which commits the United States to preserving Hong Kong's special status and its freedoms.",China is building a number of aircraft carriers so that its military can compete with the United States.,"Protesters have been targeted by brutal police tactics and intimidation, which has led to bloodshed.","During George H.W. Bush's administration, Congress passed the Hong Kong Policy Act, which commits the United States to preserving Hong Kong's special status and its freedoms. China is building a number of aircraft carriers so that its military can compete with the United States. Protesters have been targeted by brutal police tactics and intimidation, which has led to bloodshed."
28,2,1,0,0,0,1,0,0,R_1jEehLHDN86cu8v,"In 1992, Congress passed a bill pledging to preserve Hong Kong's special status.","China is building a large number of aircraft carriers, which, when completed, will make its military more competitive with the United States.",,"In 1992, Congress passed a bill pledging to preserve Hong Kong's special status. China is building a large number of aircraft carriers, which, when completed, will make its military more competitive with the United States. "
64,2,0,0,0,1,0,0,1,R_1qWHSiHefgaTaoH,The protesters regularly wave American flags to demonstrate their love of liberty.,"Chinese actions violate the Sino-British Joint Declaration on Hong Kong, in which China promised not to interfere with Hong Kong's internal affairs.",,"The protesters regularly wave American flags to demonstrate their love of liberty. Chinese actions violate the Sino-British Joint Declaration on Hong Kong, in which China promised not to interfere with Hong Kong's internal affairs. "
62,2,1,0,0,0,0,0,1,R_wSR1AsS7BESUj73,"During George H.W. Bush's administration, Congress passed the Hong Kong Policy Act, which enshrined America's commitment to preserving Hong Kong's freedom.",Recent Chinese actions violate the terms of the treaty that led Britain to return Hong Kong to China.,,"During George H.W. Bush's administration, Congress passed the Hong Kong Policy Act, which enshrined America's commitment to preserving Hong Kong's freedom. Recent Chinese actions violate the terms of the treaty that led Britain to return Hong Kong to China. "
80,2,1,0,0,0,0,1,0,R_2AL3bmkPGaRjOLF,China is interfering with a long tradition of independence for Hong Kong. Hong Kong has enjoyed self-government for many years. Its free-market economy is the envy of the world.,"Some time ago, Congress passed the Hong Kong Policy Act, which enshrined America's commitment to preserving Hong Kong's freedom.",,"China is interfering with a long tradition of independence for Hong Kong. Hong Kong has enjoyed self-government for many years. Its free-market economy is the envy of the world. Some time ago, Congress passed the Hong Kong Policy Act, which enshrined America's commitment to preserving Hong Kong's freedom. "
58,3,1,0,0,1,0,0,1,R_yL3K0xEBIULdmNz,"Chinese actions violate the Sino-British Joint Declaration on Hong Kong, in which China promised not to interfere with Hong Kong's internal affairs.","Some time ago, Congress passed the Hong Kong Policy Act, which commits the United States to preserving Hong Kong's special status and its freedoms.",The protesters regularly wave American flags to highlight the connection between their own problems and the complaints that sparked the American Revolution.,"Chinese actions violate the Sino-British Joint Declaration on Hong Kong, in which China promised not to interfere with Hong Kong's internal affairs. Some time ago, Congress passed the Hong Kong Policy Act, which commits the United States to preserving Hong Kong's special status and its freedoms. The protesters regularly wave American flags to highlight the connection between their own problems and the complaints that sparked the American Revolution."
54,3,1,0,1,1,0,0,0,R_2eR38g9G9ESTmqT,"During George H.W. Bush's administration, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's special status and its freedoms.","China is an authortiarian country with a long history of mistreating its citizens, including the massacre of protestors at Tiananmen Square in 1989.",The protesters regularly wave American flags to affirm their commitment for ideals that Americans hold dear.,"During George H.W. Bush's administration, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's special status and its freedoms. China is an authortiarian country with a long history of mistreating its citizens, including the massacre of protestors at Tiananmen Square in 1989. The protesters regularly wave American flags to affirm their commitment for ideals that Americans hold dear."
72,3,1,0,1,0,0,0,1,R_b4udZP4O189SI6t,"During George H.W. Bush's administration, Congress passed the Hong Kong Policy Act, which enshrined America's commitment to preserving Hong Kong's autonomy.","China is a communist country also accused of putting hundreds of thousands of Uyghurs, an ethnic minority from northwestern China, in internment camps.","When Britain ceded Hong Kong to China in 1997, China promised not to interfere with Hong Kong's internal affairs for 50 years. Protesters argue that recent Chinese actions violate this agreement.","During George H.W. Bush's administration, Congress passed the Hong Kong Policy Act, which enshrined America's commitment to preserving Hong Kong's autonomy. China is a communist country also accused of putting hundreds of thousands of Uyghurs, an ethnic minority from northwestern China, in internment camps. When Britain ceded Hong Kong to China in 1997, China promised not to interfere with Hong Kong's internal affairs for 50 years. Protesters argue that recent Chinese actions violate this agreement."
60,2,0,1,0,1,0,0,0,R_2Cv9yH2XYB1zsEu,"The Hong Kong protesters face a serious risk of being beaten, imprisoned, or tortured by the Chinese government, but they protest anyway in order to defend their liberty.",Many protesters carry American flags to highlight the connection between their own problems and the complaints that sparked the American Revolution.,,"The Hong Kong protesters face a serious risk of being beaten, imprisoned, or tortured by the Chinese government, but they protest anyway in order to defend their liberty. Many protesters carry American flags to highlight the connection between their own problems and the complaints that sparked the American Revolution. "
69,3,1,0,0,0,0,1,1,R_2E635P9WQDP7IUF,"During George H.W. Bush's administration, Congress passed the Hong Kong Policy Act, which enshrined America's commitment to preserving Hong Kong's freedom.","China is interfering with a long tradition of independence for Hong Kong. Hong Kong has enjoyed self-government for many years, during which it became one of the richest cities in the world.",Recent Chinese actions violate the terms of the agreement that led Britain to return Hong Kong to China.,"During George H.W. Bush's administration, Congress passed the Hong Kong Policy Act, which enshrined America's commitment to preserving Hong Kong's freedom. China is interfering with a long tradition of independence for Hong Kong. Hong Kong has enjoyed self-government for many years, during which it became one of the richest cities in the world. Recent Chinese actions violate the terms of the agreement that led Britain to return Hong Kong to China."
28,3,1,0,0,0,0,1,1,R_3Dp6itX9iN8KDh0,Hong Kong has enjoyed self-government for many years. Its residents enjoy greater economic freedom than virtually any other people in the world.,"When Britain ceded Hong Kong to China in 1997, China promised not to interfere with Hong Kong's internal affairs for 50 years. Protesters argue that recent Chinese actions violate this agreement.","Some time ago, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's right to govern itself.","Hong Kong has enjoyed self-government for many years. Its residents enjoy greater economic freedom than virtually any other people in the world. When Britain ceded Hong Kong to China in 1997, China promised not to interfere with Hong Kong's internal affairs for 50 years. Protesters argue that recent Chinese actions violate this agreement. Some time ago, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's right to govern itself."
80,2,1,0,0,0,0,0,1,R_0iiIo3alv959bcB,"When Britain returned Hong Kong to China in 1997, China promised not to interfere with Hong Kong's internal affairs for 50 years. Protesters argue that recent Chinese actions violate this treaty.","27 years ago, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's right to govern itself.",,"When Britain returned Hong Kong to China in 1997, China promised not to interfere with Hong Kong's internal affairs for 50 years. Protesters argue that recent Chinese actions violate this treaty. 27 years ago, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's right to govern itself. "
20,3,1,1,0,0,0,1,0,R_22DHFPbauDWbnuP,"The Hong Kong protesters risk of being beaten, imprisoned, or tortured by the Chinese government, but they protest anyway in order to protect their liberty.","Some time ago, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's autonomy.","Hong Kong's special status within China has protected free enterprise and the rule of law, enabling it to become one of the freest and most prosperous societies in the world.","The Hong Kong protesters risk of being beaten, imprisoned, or tortured by the Chinese government, but they protest anyway in order to protect their liberty. Some time ago, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's autonomy. Hong Kong's special status within China has protected free enterprise and the rule of law, enabling it to become one of the freest and most prosperous societies in the world."
50,2,1,0,1,0,0,0,0,R_2z5SwlOI96xTJ8T,"During George H.W. Bush's administration, Congress passed the Hong Kong Policy Act, which enshrined America's commitment to preserving Hong Kong's autonomy.","China is a communist country also accused of putting hundreds of thousands of Uyghurs, an ethnic minority from northwestern China, in internment camps.",,"During George H.W. Bush's administration, Congress passed the Hong Kong Policy Act, which enshrined America's commitment to preserving Hong Kong's autonomy. China is a communist country also accused of putting hundreds of thousands of Uyghurs, an ethnic minority from northwestern China, in internment camps. "
80,2,1,0,1,0,0,0,0,R_Q0wvuoMeWYlQhPj,"In 1992, Congress passed a bill pledging to preserve Hong Kong's autonomy.","China is a communist country also accused of putting hundreds of thousands of Uyghurs, an ethnic minority from northwestern China, in internment camps.",,"In 1992, Congress passed a bill pledging to preserve Hong Kong's autonomy. China is a communist country also accused of putting hundreds of thousands of Uyghurs, an ethnic minority from northwestern China, in internment camps. "
55,3,1,0,0,0,1,0,1,R_3GEcjtbjaeaf4gN,"When China acquired Hong Kong from Britain in 1997, China promised not to interfere with Hong Kong's internal affairs for 50 years. Protesters argue that recent Chinese actions violate this treaty.","China's actions in Hong Kong may foreshadow aggression towards other U.S. allies in the region, such as Japan and Taiwan.","In 1992, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's right to govern itself.","When China acquired Hong Kong from Britain in 1997, China promised not to interfere with Hong Kong's internal affairs for 50 years. Protesters argue that recent Chinese actions violate this treaty. China's actions in Hong Kong may foreshadow aggression towards other U.S. allies in the region, such as Japan and Taiwan. In 1992, Congress passed a bill which enshrined America's commitment to preserving Hong Kong's right to govern itself."
2,2,1,0,0,0,0,1,0,R_3G0xeJ9kQoYBdnH,"In 1992, Congress passed the Hong Kong Policy Act, which committed the United States to preserving Hong Kong's autonomy.",China is interfering with a long tradition of independence for Hong Kong. Hong Kong has been governed separately from China for the past 150 years. It is admired around the world for its substantial economic freedom.,,"In 1992, Congress passed the Hong Kong Policy Act, which committed the United States to preserving Hong Kong's autonomy. China is interfering with a long tradition of independence for Hong Kong. Hong Kong has been governed separately from China for the past 150 years. It is admired around the world for its substantial economic freedom. "
