function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achiev,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,text,Y
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gave this to my wife. she loves it!,1
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"my wife likes it, i don't.",0
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i was a fan of elvis from the beggining of his career.  i love gospel and no one sings it better thatn elvis presley.,1
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,this is an excellent cd. the cd was in good condition when i got it. the brooklyn tabernacle choir has done an outstanding job once again!,0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,i have been looking for the cd for so long and to find it on amazon was amazing i have no issues i got it and no scratches it was great,1
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,i can only give one star as this cd ist not pressed but rather a cd-r copy. sound quality is ok nonetheless.,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,there is painful hissing in between almost every track and the last track is cut completely off. waste of money.,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,"sweet charity was director/choreographer bob fosse's valentine to his then wife, the beloved broadway dancing star gwen verdon.  she had been off the stage since their last collaboration the murder musical comedy hit ""redhead"" which closed in 1960.  after that she'd had a baby girl nicole, and had been maintaining a low profile.  fosse wanted to get her back on the boards, and he tailored the role of charity hope valentine to her dazzling talents.  ms. verdon was a triple threat, besides being a dancer par excellence, she also possessed a limited but beguiling singing voice and was a fine actress as well.  this was an americanization of a classic 1957 italian film by director federico fellini starring his chaplinesque wife guiletta masina, ""the nights of cabiria"".  this was a tragicomedy about a little waiflike roman streetwalker, cabiria, who gets trampled on by life, yet despite this and the sordidness of her profession, manages to maintain a guileless hopeful optimism and go on with her life.  to make her character more palatable to american audiences, fosse changed the character to a dance hall hostess.  neil simon, then the red hot broadway playwright wrote the libretto, cy coleman composed the score, his best in my opinion and dorothy fields the witty, clever lyrics.  fosse of course was the director /choreographer, and this contained some of his most innovative work.  it triumphantly opened at the newly refurbished palace theatre on january 29, 1966 and ran for 608 performances.  this is yet another stellar addition to that unqualifiedly marvelous series that began in the mid to late 1990's, the ""columbia broadway masterworks"" which were expanded editions of some of the greatest broadway musicals of all time with their original casts.  the tone is set by the brassy, resounding overture, edgy and exciting, in the tradition of ""gypsy"" and ""funny girl""; it gets the blood pumping and sets the tone.  the best songs understandably, go to ms. verdon, and she does them full justice.  the showstopper and one that became a musical standard is ""if my friends could see me now!""  ms. verdon performed this on the ed sullivan show on television in glorious color, and her gleeful, ebullient virtuosity is a joy to watch if you get the dvd.  listening to the cut on the cd is just as pleasurable.  ""i'm a brass band"" is charity's joyous declaration of being blissfully in love, very charming, and also was done on the sullivan show by ms. verdon.  my personal favorite however is the raw, pulsating lament ""where am i going?"" which shows off ms. verdon's talent as a dramatic actress as charity comes to a crossroads in her life and doesn't know what path to take.  this song musically was so challenging, that sometimes gwen verdon would cut it on matinee days, which was a pity.  her comic sense is well displayed in two wry numbers, ""you should see yourself"", and ""charity's soliloquy"".  listening to her inimitable voice, gwen verdon's unique star quality shines through.  the listener is able to realize why along with ethel merman and mary martin, ms. verdon was one of the american musical theatres' most treasured female assets in the latter half of the twentieth century.  ""big spender"" is the other standard that came out of the show, as the dance hall hostesses led by nickie (helen gallagher) and helene (thelma oliver) try to entice potential customers in an aggressive yet deadpan manner.  there is a staccato, latin sounding number for charity, nickie and helene when all three are weary of the dance hall and dream of escape ""there's gotta be something better than this"", where you can hear and imagine the vigorous dancing that accompanies it.  helen gallagher has a very funny moment where she nails down a ny urban accent ""but baby, what can you doo?"" misses. gallagher and oliver sparkle in a sardonic, bouncy pop duet ""baby dream your dream"".  the male lead john mcmartin playing oscar, charity's neurotic boyfriend gets to sing the title number ""sweet charity"" and has a low keyed ingratiating duet with ms. verdon called ""i'm the bravest individual"".  finally i don't want to forget the instrumental ""the rich man's frug"" which always gives me a smile, it is such an on the head parody of 1960's music heard at then trendy discotheques like ""arthur"" or ""the peppermint lounge"".  i can imagine the ""beautiful people"" doing the ""frug"" and the ""watusi""!  the extras are very special, we are transported back to the opening night on january 29, 1966 as radio announcer fred robbins records the curtain calls, with the audience going wild, followed then by interviews at the party at the skylight roof of the waldorf - astoria where he interviews an exuberant ethel merman who sings the praises of gwen verdon, a gratefully articulate helen gallagher for whom this was a broadway comeback and neil simon who touches on his writing inspirations.  lastly, it's gwen verdon's turn, who though gracious, seems somewhat reserved and detached as if her mind was elsewhere.  there is also the first release of ""i love to cry at weddings"", hardly different from the final cut.  finally composer cy coleman sings a trio of songs, in a pleasant voice much better than stephen sondheim on the ""anyone can whistle"" cd.  one song ""you wanna bet"" was reworked with a different tempo and lyrics into the title tune ""sweet charity"".  the booklet is nicely done with black and white photos, the original liner notes that were on the album, and an interview with cy coleman from the late nineties.  the stereo sound is clear and sharp, and a tip of the hat to the late producer and president at columbia records goddard lieberson who did such an impeccable job preserving these broadway jewels from the glory days of the broadway musical.  forget about the shirley maclaine, debbie allen, and christina applegate recordings, this is the definitive version and at $7.99 it's a real bargain!",0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the stylistics is one of those soulful groups who always sound great no matter what the occasion.  go get this cd and relax and enjoy.,0
1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,"despite all of the talented people involved in this project , it is not a product that is greater than the sum of it's parts . yngwie spends most the time out of sync with the orchestra . the fact that his work was recorded on a different continent shows . this is not yo yo ma here . it isn't even rick wakeman ( am i showing my age ? ). if you like modern musicians working with an orchestra try nightwish, the moody blues or renaissance . i actually like yngwie's work and have been buying his material since his 1st. rising force album . he is one of the most talented guitar players in the world . his baroque style stands in stark contrast to the blues or jazz based chord structures that most other guitar greats use . it is just disappointing that when yngwie gets his chance to take his material and talent to this level , it fails to impress .",1
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"have the original vinyl and later cd release. the cd was stolen in the early 2000s from my car, and the replacement i tracked down was lost in a flood at my office. the third copy i spent a good so months locating, combing through the bins of used cd stores. it was all totally worth it. best boc album ever. also, i didn't see it in other reviews, but ellen foley (meatloaf and night coury) sings backing vocals.  the song ""blue oyster cult"" is a mind-shattering experience.  enjoy!",0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a great album from maybe the greatest band on earth (and beyond) a great return to the best form for blue oyster cult!,1
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,"albert bouchard was blue oyster cult's best songwriting secret. it's a shame that this band's worst infighting and conflict happened during this time.  this is easily the album that many b.o.c. fans including myself, wanted to see them make.  a little hard to fully understand, this album boasts a pletora of soaring guitars with axe heavyweights such as robbie krieger and joe satriani and jack rigg.  i wished that all of us could have heard the long lost demos of this album, originally slated as an albert bouchard solo project.  the lovecraftian quality of the album as well as its front and back cover easily suggests that this group overdosed on horror films a long time ago.",0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,"this is boc on beyond their last legs, making their last major label album and heading straight for the over the hill circuit. this album sounds even worse to me today than it did in '89. come on now, we all know a group has  had it when they start re-recording their own songs(usually means they  can't write quality new ones).the reason they give for this is that they  were a part of some great lost conceptualized work that the record label  wouldn't let them do way back when(yeah, yeah,yeah). from what i'm told  this was originally supposed to be an albert bouchard solo album, hence the  million guests guitarists. that brings up another point, with a great  guitarist like roeser, why did you need any of those guys(satriani, aldo  nova, robby krieger[and what exactly did they do anyway])the label probably  made them call it a boc album, or they wouldn't have let it come out.  hardly anyone is even on their right instrument(ie the one they play live).  stick with the original classic records(debut through fire of unknown  origin).",1
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"i am so glad to have found mary and wendy's cd on amazon.com.  i've had this album back in the early 1980's, and my husband broke everyone of my christian albums, except two, my mother's and my girlfriend leslie's.  i want to recover all of my christian music, which i dearly miss.  i can't wait to receive my cd, and once again enjoy the music...  their music are pure heaven!!!!!!!!!!!",0
1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,that said i saw him in an irish pub on a cruise ship  and going there to see him 4 nights in a row was by far one of the best times i had on my trip,0
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the poor quality of the original recording shows what progress has been made in the music industry.,1
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,"what can i say that hasn't already been expressed by the other reviewers?  this cd ""the experience: praise-intimacy-worship-celebration"" by gideon band is the absolute best praise cd i've heard since fred hammonds' pages of life. the cd has so many genre's rolled up in blessed annointing, that you can't help but praise god and continually thank him for gideon band. it's hard to pick just one song as my favorite, because they are all amazing.  and the drummer ""the animal"" is giving up some serious praise on the drums.  i didn't know it was really possible to praise god with an instrument other than piano until i got this cd and heard the drums. this is one you don't want to miss out.  whether you are a reverend or babe in christ, you want this cd, you need this cd!!! many blessings to the gideon band family and continued success! lorna :o)",1
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"i thank god for these brothers, b/c they truly have the heart of worship and a love for god.  i pray that god will just exhalt them in due season, that their lives can be an example and inspiration to other young people across the globe.  god bless my brothers!",1
